title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Guild Wars 2,PC,9.0,2012,9,11,693,Action,NCSoft,0.95,1.06,0.0,0.29,2.3,90,69,7.9,2954
World of Warcraft: Mists of Pandaria,PC,8.7,2012,10,4,947,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,82,42,4.8,1265
NBA 2K13,PC,9.1,2012,9,27,14414,Sports,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,88,41,7.2,131
Edna & Harvey: Harvey's New Eyes,PC,6.0,2012,10,26,11230,Adventure,Rondomedia,0.0,0.07,0.0,0.01,0.09,,,,
Darksiders II,PC,7.5,2012,8,17,8700,Action,Nordic Games,0.03,0.1,0.0,0.03,0.16,84,39,7.1,422
FIFA Soccer 13,PC,9.0,2012,9,20,4775,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41,88,37,6.6,348
XCOM: Enemy Unknown,PC,8.2,2012,10,8,2826,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72,89,57,8.2,2235
F1 2012,PC,9.0,2012,9,17,8930,Racing,Codemasters,0.01,0.11,0.0,0.03,0.15,81,23,7.5,54
Dishonored,PC,9.2,2012,10,7,3938,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,88,56,7.9,815
Pro Evolution Soccer 2013,PC,8.5,2012,9,17,11216,Sports,Konami Digital Entertainment,0.0,0.07,0.0,0.01,0.09,82,37,6.7,146
Borderlands 2,PC,9.0,2012,9,13,2226,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93,89,59,8.2,892
Call of Duty: Black Ops II,PC,9.3,2012,11,13,1219,Shooter,Activision,0.63,0.69,0.0,0.21,1.53,83,21,5.3,922
Farming Simulator 2013,PC,7.1,2012,11,7,2104,Simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99,65,12,7.5,111
Football Manager 2013,PC,9.0,2012,11,3,1736,Sports,Sega,0.0,0.95,0.0,0.22,1.17,86,37,6.7,228
The Sims 3: Seasons,PC,7.5,2012,12,17,8453,Simulation,Electronic Arts,0.0,0.13,0.0,0.03,0.17,73,12,7.5,48
Hitman: Absolution,PC,9.0,2012,11,18,6709,Action,Square Enix,0.03,0.17,0.0,0.04,0.25,83,30,7.5,511
Assassin's Creed III,PC,8.6,2012,11,23,2204,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94,85,41,6.9,1307
Far Cry 3,PC,9.0,2012,11,21,2108,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98,90,32,8.5,1041
Caesar III,PC,8.7,1998,10,8,14038,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04,,,8.7,50
Tomb Raider III: Adventures of Lara Croft,PC,7.7,1998,12,10,3279,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62,,,8.2,29
Half-Life,PC,9.5,1998,11,25,282,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,96,24,9.1,3161
